#OTU ID	MQ201019-23	MQ201019-24	MQ201019-25	MQ201019-26	MQ201019-27	MQ201019-28	MQ201019-29	MQ201019-30	MQ201019-31	MQ201019-32	MQ201019-33	MQ201019-34	MQ201019-35	MQ201019-36	MQ201019-37	MQ201019-38	MQ201019-39	MQ201019-40	MQ201019-41	MQ201019-42	MQ201019-43	MQ201019-44	MQ201019-45	MQ201019-46	MQ201019-47	MQ201019-48	MQ201019-49	MQ201019-50	MQ201019-51	MQ201019-52	MQ201019-53	MQ201019-54	MQ201019-55	MQ201019-56	MQ201019-57	MQ201019-58	MQ201019-59	MQ201019-60	MQ201019-61	MQ201019-62	MQ201019-63	MQ201019-64	MQ201019-65	MQ201019-66	MQ201019-67	MQ201019-68	MQ201019-69	MQ201019-70	MQ201019-71	MQ201019-72	MQ201019-73	MQ201019-74	MQ201019-75	MQ201019-76	MQ201019-77	MQ201019-78	MQ201019-79	MQ201019-80	MQ201019-81	MQ201019-82	MQ201019-83	MQ201019-84	MQ201019-85	MQ201019-86	MQ201019-87	MQ201019-88	MQ201019-89	MQ201019-90
ASV793	2	0	2	0	1	2	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	22	36	54	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	3	6	2	3	4	3	5	0	0	0	1	2	2	0	1	2	3	5	4
ASV257	13	5	5	7	4	5	3	3	30	27	11	53	35	32	34	61	54	41	37	53	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	82	76	1	0	0	0	0	0	0	0	2	0	5	2	0	3	2	0	23	37	18	33	0	0	0	0	0	0	0	0
ASV8	193	140	4	5	2	4	7	14	155	27	92	33	161	162	163	220	238	180	185	209	0	0	0	0	0	0	0	0	33	36	34	68	4	6	5	6	92	80	79	77	1464	1032	522	540	735	762	747	860	299	251	364	402	402	443	301	398	151	179	105	126	288	323	280	309	144	178	246	307
ASV92	172	124	129	159	141	182	0	0	28	123	9	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	72	82	0	0	0	0	0	0	0	0	0	1	81	173	103	146	90	94	0	0	0	0	0	0	0	0	0	0	0	0
ASV122	244	156	257	282	200	206	0	0	65	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV27	1498	1026	180	188	200	218	0	0	1245	573	685	545	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	24	24	39	40	2	5	13	17	71	52	0	0	0	0	0	0	35	27	26	29	21	32	16	19	0	0	0	0	9	6	0	1	1	0	10	4
ASV152	329	254	14	17	33	37	0	0	255	46	109	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	41	0	1	9	7	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV350	204	165	12	12	14	13	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV200	216	201	47	63	73	64	0	0	70	16	40	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	3	8	0	0	0	0	0	0	1	6	26	19	1	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV25	127	97	58	73	36	39	183	190	123	68	67	65	141	120	116	223	201	166	131	132	0	0	0	0	0	0	0	0	122	113	99	151	0	1	0	3	0	0	36	30	120	92	231	295	72	59	52	73	110	98	119	114	115	142	140	179	139	178	144	116	219	212	159	208	89	138	206	248
